"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF"
"214",2015,"MMR","IND","India","Myanmar",1016.301065,"Myanmar","India",958.227139,0.0571424433172271
"215",2015,"MMR","JPN","Japan","Myanmar",864.259805,"Myanmar","Japan",429.546383,0.502989285727571
"216",2015,"MMR","KHM","Cambodia","Myanmar",3.319673,"Myanmar","Cambodia",0.00181,0.999454765574802
"217",2015,"MMR","KOR","Rep. of Korea","Myanmar",505.679497,"Myanmar","Rep. of Korea",266.081219,0.47381449993809
"218",2015,"MMR","LAO","Lao People's Dem. Rep.","Myanmar",0.000559,"Myanmar","Lao People's Dem. Rep.",0.474433,-847.717352415027
"219",2015,"MMR","MMR","Myanmar","Myanmar",0.055382,"Myanmar","Myanmar",0.118724,-1.14372900942545
"220",2015,"MMR","MYS","Malaysia","Myanmar",176.423848,"Myanmar","Malaysia",162.919035,0.0765475481523336
"221",2015,"MMR","NZL","New Zealand","Myanmar",2.072677,"Myanmar","New Zealand",1.305996,0.369898927811714
"222",2015,"MMR","PHL","Philippines","Myanmar",20.116459,"Myanmar","Philippines",11.658515,0.420448946805201
"223",2015,"MMR","RUS","Russian Federation","Myanmar",15.805511,"Myanmar","Russian Federation",6.052861,0.617041106738023
"224",2015,"MMR","SGP","Singapore","Myanmar",125.596092,"Myanmar","Singapore",566.713229,-3.51218839675362
"225",2015,"MMR","THA","Thailand","Myanmar",3566.092299,"Myanmar","Thailand",3346.485746,0.0615818477445415
